COD_PRODUTO;PRODUTO;CLASSIFICACAO
006858;ARM ACO ITACLASS PLUS FLASH IAG NG;MOVEIS COZINHA COZINHA COMPACTA
014937;ARM.DUPLO MEDIO 2PT VID 81092 A VD AMER;MOVEIS COZINHA PANELEIRO
012839;CAMA SOLTEIRO LAMBARI MASTER MG;MOVEIS QUARTO CAMA
007817;DVD 1000;TECNOLOGIA TV E VIDEO DVD
014025;ESTACAO DE TRABALHO MASTER IMB PT;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
G0000O;GE1 LAV ROUPAS SEMI AUTOM;SERVICOS GARANTIA
021930;SMARTPHONE ASUS ZENFONE LASER DB BCO;CELULAR SMARTPHONE SMARTPHONE
019740;REFRIGERADOR RCD 34 INOX;ELETRO ELETRODOMESTICO REFRIGERADOR
010684;LIQUID.2V KLIB 890 PX PRETO BLACK E DECKER;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
019170;ROUPEIRO 6PTS.FLAVIA C ESP ROV NUDE;MOVEIS QUARTO GUARDA-ROUPA
024708;ESTOFADO PRATA 3 LUGARES CINZA;MOVEIS SALA DE ESTAR SOFA
015016;MESA LATERAL JESSICA TB MP;MOVEIS SALA DE ESTAR MESA DE CENTRO
006302;VENTILADOR 40 CM FD 40 MESA;ELETRO AR E VENTILACAO VENTILADOR
005478;REFRIGERADOR 2 P.BRASTEMP 384L BRM 39;ELETRO ELETRODOMESTICO REFRIGERADOR
A00057;MARCA TEXTO   AMARELO;ALMOXARIFADO
A02340;MOTOR PARTIDA TIT 150 (EMBUS);ALMOXARIFADO
022046;TAMPO SUP C VISTA 19CM GOURMET GRANIT PT;MOVEIS COZINHA
013263;POLTRONA JATIUCA DUNNASPLAST DOURADO;MOVEIS TERRACO POLTRONA
016211;PAINEL GIULIA 1
A00214;COLA BASTAO 20G;ALMOXARIFADO
